pgm,end_pgm,semicolon,comma,assign,identifier,squarebeg,squareend,dlint,dlreal,dlstring,dlchar,dlbool,dlarray,lit_int,lit_real,lit_char,lit_string,lit_bool,or,and,eq,diff,smaller,smallere,,greater,greatere,plus,minus,mult,pow,unary,not,parenthbeg,parenthend,dlwhile,dlif,dlelse,print,read,main,func,dlvoid,keybeg,keyend,dlreturn,$
s2, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
 , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,acc
 , ,r20,r20, , , ,r20, , , , , , , , , , , ,r20,r20,r20,r20,r20,r20,r20, ,r20,r20,r20,r20,r20, , , ,r20, , , , , , , , , , , , 
 , ,r21,r21, , , ,r21, , , , , , , , , , , ,r21,r21,r21,r21,r21,r21,r21, ,r21,r21,r21,r21,r21, , , ,r21, , , , , , , , , , , , 
 , ,r22,r22, , , ,r22, , , , , , , , , , , ,r22,r22,r22,r22,r22,r22,r22, ,r22,r22,r22,r22,r22, , , ,r22, , , , , , , , , , , , 
 ,r72, , , ,r72, , ,r72,r72,r72,r72,r72,r72, , , , , , , , , , , , , , , , , , , , , , ,r72,r72,r72,r72,r72,r72, ,r72, ,r72,r72, 
 , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,s86, , 
 , , , , ,s57, , ,s10,s11,s12,s13,s14,s15, , , , , , , , , , , , , , , , , , , , , , ,s58,s59, ,s60,s61, , , , ,r75,s56, 
 , , , , ,s57, , ,s10,s11,s12,s13,s14,s15, , , , , , , , , , , , , , , , , , , , , , ,s58,s59, ,s60,s61, , , , ,r77,s56, 
 , , , , ,s57, , ,s10,s11,s12,s13,s14,s15, , , , , , , , , , , , , , , , , , , , , , ,s58,s59, ,s60,s61, , , , ,r79,s56, 
 , , , , ,s57, , ,s10,s11,s12,s13,s14,s15, , , , , , , , , , , , , , , , , , , , , , ,s58,s59, ,s60,s61, , , , ,r81,s56, 
 , , , , ,s57, , ,s10,s11,s12,s13,s14,s15, , , , , , , , , , , , , , , , , , , , , , ,s58,s59, ,s60,s61, , , , ,r83,s56, 
 , , , , ,s57, , ,s10,s11,s12,s13,s14,s15, , , , , , , , , , , , , , , , , , , , , , ,s58,s59, ,s60,s61, , , , ,r85,s56, 
 , , , , ,s57, , ,s10,s11,s12,s13,s14,s15, , , , , , , , , , , , , , , , , , , , , , ,s58,s59, ,s60,s61, , , , ,r87,s56, 
 , , , , ,s40, , , , , , , , ,s42,s43,s44,s45,s46, , , , , , , , , , , , , ,s37,s38,s39, , , , , , , , , , , , , 
 , , , ,s95, ,s84, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
 , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,s97, , , , , , , , , , , , , 
 , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,s98, , , , , , , , , , , , , 
 , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,s99, , , , , , , , , , , , , 
 , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,s100, , , , , , , , , , , , , 
 , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,s85, , , , , , , , , , , , , 
 , , , , ,s40, , , , , , , , ,s42,s43,s44,s45,s46, , , , , , , , , , , , , ,s37,s38,s39, , , , , , , , , , , , , 
 , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,s85, , , , , , , , , , , , , 
 ,r8, , , ,r8, , ,r8,r8,r8,r8,r8,r8, , , , , , , , , , , , , , , , , , , , , , ,r8,r8, ,r8,r8,r8, ,r8, ,r8,r8, 
 , , , , , , , ,s10,s11,s12,s13,s14,s15, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
